"GEONR";"GEONAME";"CLASS_HAB";"VARIABLE";"VALUE";"STATUS"
"CH";"Schweiz / Suisse";;"pop2019";8606033;"A"
"CH";"Schweiz / Suisse";;"pop2009";7785806;"A"
"CH";"Schweiz / Suisse";;"vpop_0919";10.5;"A"
"CH";"Schweiz / Suisse";;"dens_pop_19";2;"A"
"CH";"Schweiz / Suisse";;"pop2000";7288010;"A"
"CH";"Schweiz / Suisse";;"pop1990";6873687;"A"
"CH";"Schweiz / Suisse";;"pop1980";6365960;"A"
"CH";"Schweiz / Suisse";;"pop1970";6269783;"A"
"CH";"Schweiz / Suisse";;"pop1930";4066400;"A"
"2701";"Basel";6;"pop2019";173232;"A"
"2701";"Basel";6;"pop2009";166173;"A"
"2701";"Basel";6;"vpop_0919";4.2;"A"
"2701";"Basel";6;"dens_pop_19";73;"A"
"2701";"Basel";6;"pop2000";166558;"A"
"2701";"Basel";6;"pop1990";178428;"A"
"2701";"Basel";6;"pop1980";182143;"A"
"2701";"Basel";6;"pop1970";212857;"A"
"2701";"Basel";6;"pop1930";148063;"A"
"351";"Bern";6;"pop2019";134591;"A"
"351";"Bern";6;"pop2009";123466;"A"
"351";"Bern";6;"vpop_0919";9;"A"
"351";"Bern";6;"dens_pop_19";26;"A"
"351";"Bern";6;"pop2000";128634;"A"
"351";"Bern";6;"pop1990";136338;"A"
"351";"Bern";6;"pop1980";145254;"A"
"351";"Bern";6;"pop1970";162405;"A"
"351";"Bern";6;"pop1930";111783;"A"
"6621";"Genève";6;"pop2019";203951;"A"
"6621";"Genève";6;"pop2009";185958;"A"
"6621";"Genève";6;"vpop_0919";9.7;"A"
"6621";"Genève";6;"dens_pop_19";128;"A"
"6621";"Genève";6;"pop2000";177964;"A"
"6621";"Genève";6;"pop1990";171042;"A"
"6621";"Genève";6;"pop1980";156505;"A"
"6621";"Genève";6;"pop1970";173618;"A"
"6621";"Genève";6;"pop1930";124121;"A"
"5586";"Lausanne";6;"pop2019";139408;"A"
"5586";"Lausanne";6;"pop2009";125885;"A"
"5586";"Lausanne";6;"vpop_0919";10.7;"A"
"5586";"Lausanne";6;"dens_pop_19";34;"A"
"5586";"Lausanne";6;"pop2000";124914;"A"
"5586";"Lausanne";6;"pop1990";128112;"A"
"5586";"Lausanne";6;"pop1980";127349;"A"
"5586";"Lausanne";6;"pop1970";137383;"A"
"5586";"Lausanne";6;"pop1930";75915;"A"
"230";"Winterthur";6;"pop2019";113173;"A"
"230";"Winterthur";6;"pop2009";99377;"A"
"230";"Winterthur";6;"vpop_0919";13.9;"A"
"230";"Winterthur";6;"dens_pop_19";17;"A"
"230";"Winterthur";6;"pop2000";90483;"A"
"230";"Winterthur";6;"pop1990";86959;"A"
"230";"Winterthur";6;"pop1980";86758;"A"
"230";"Winterthur";6;"pop1970";92722;"A"
"230";"Winterthur";6;"pop1930";53925;"A"
"261";"Zürich";6;"pop2019";420217;"A"
"261";"Zürich";6;"pop2009";368677;"A"
"261";"Zürich";6;"vpop_0919";14;"A"
"261";"Zürich";6;"dens_pop_19";48;"A"
"261";"Zürich";6;"pop2000";363273;"A"
"261";"Zürich";6;"pop1990";365043;"A"
"261";"Zürich";6;"pop1980";369522;"A"
"261";"Zürich";6;"pop1970";422640;"A"
"261";"Zürich";6;"pop1930";290937;"A"
"371";"Biel/Bienne";5;"pop2019";55602;"A"
"371";"Biel/Bienne";5;"pop2009";50455;"A"
"371";"Biel/Bienne";5;"vpop_0919";10.2;"A"
"371";"Biel/Bienne";5;"dens_pop_19";26;"A"
"371";"Biel/Bienne";5;"pop2000";48655;"A"
"371";"Biel/Bienne";5;"pop1990";51893;"A"
"371";"Biel/Bienne";5;"pop1980";53793;"A"
"371";"Biel/Bienne";5;"pop1970";64333;"A"
"371";"Biel/Bienne";5;"pop1930";37726;"A"
"5192";"Lugano";5;"pop2019";62615;"A"
"5192";"Lugano";5;"pop2009";60617;"A"
"5192";"Lugano";5;"vpop_0919";3.3;"A"
"5192";"Lugano";5;"dens_pop_19";8;"A"
"5192";"Lugano";5;"pop2000";55751;"A"
"5192";"Lugano";5;"pop1990";50423;"A"
"5192";"Lugano";5;"pop1980";48784;"A"
"5192";"Lugano";5;"pop1970";44342;"A"
"5192";"Lugano";5;"pop1930";26290;"A"
"1061";"Luzern";5;"pop2019";82257;"A"
"1061";"Luzern";5;"pop2009";76733;"A"
"1061";"Luzern";5;"vpop_0919";7.2;"A"
"1061";"Luzern";5;"dens_pop_19";28;"A"
"1061";"Luzern";5;"pop2000";75425;"A"
"1061";"Luzern";5;"pop1990";76466;"A"
"1061";"Luzern";5;"pop1980";78274;"A"
"1061";"Luzern";5;"pop1970";83374;"A"
"1061";"Luzern";5;"pop1930";52102;"A"
"3203";"St. Gallen";5;"pop2019";76090;"A"
"3203";"St. Gallen";5;"pop2009";72642;"A"
"3203";"St. Gallen";5;"vpop_0919";4.7;"A"
"3203";"St. Gallen";5;"dens_pop_19";19;"A"
"3203";"St. Gallen";5;"pop2000";72626;"A"
"3203";"St. Gallen";5;"pop1990";75237;"A"
"3203";"St. Gallen";5;"pop1980";75847;"A"
"3203";"St. Gallen";5;"pop1970";80852;"A"
"3203";"St. Gallen";5;"pop1930";63947;"A"
"4001";"Aarau";4;"pop2019";21773;"A"
"4001";"Aarau";4;"pop2009";19289;"A"
"4001";"Aarau";4;"vpop_0919";12.9;"A"
"4001";"Aarau";4;"dens_pop_19";18;"A"
"4001";"Aarau";4;"pop2000";18122;"A"
"4001";"Aarau";4;"pop1990";18872;"A"
"4001";"Aarau";4;"pop1980";17971;"A"
"4001";"Aarau";4;"pop1970";19340;"A"
"4001";"Aarau";4;"pop1930";12616;"A"
"2762";"Allschwil";4;"pop2019";21090;"A"
"2762";"Allschwil";4;"pop2009";19088;"A"
"2762";"Allschwil";4;"vpop_0919";10.5;"A"
"2762";"Allschwil";4;"dens_pop_19";24;"A"
"2762";"Allschwil";4;"pop2000";18131;"A"
"2762";"Allschwil";4;"pop1990";18802;"A"
"2762";"Allschwil";4;"pop1980";17952;"A"
"2762";"Allschwil";4;"pop1970";17638;"A"
"2762";"Allschwil";4;"pop1930";7157;"A"
"1701";"Baar";4;"pop2019";24617;"A"
"1701";"Baar";4;"pop2009";21586;"A"
"1701";"Baar";4;"vpop_0919";14;"A"
"1701";"Baar";4;"dens_pop_19";10;"A"
"1701";"Baar";4;"pop2000";19407;"A"
"1701";"Baar";4;"pop1990";16147;"A"
"1701";"Baar";4;"pop1980";15196;"A"
"1701";"Baar";4;"pop1970";14074;"A"
"1701";"Baar";4;"pop1930";5889;"A"
"5002";"Bellinzona";4;"pop2019";43279;"A"
"5002";"Bellinzona";4;"pop2009";40129;"A"
"5002";"Bellinzona";4;"vpop_0919";7.8;"A"
"5002";"Bellinzona";4;"dens_pop_19";3;"A"
"5002";"Bellinzona";4;"pop2000";36089;"A"
